Date,RGTI,IONQ,QNTM.MI,RACE.MI,LEGN,TTWO,LGND,SMR
2025-11-10,28.65588229796709,47.96481512709957,22.424999237060547,352.7830810546875,27.365153447951286,202.75681286102522,181.29954902600832,24.627771988557686
2025-11-11,27.169162669977272,47.08744588262343,22.5,360.00091552734375,27.714275723759474,208.26807169419712,180.57975271325674,23.137051350406022
2025-11-12,24.42289775776191,43.76272637189351,22.299999237060547,364.6479797363281,26.904022596861328,207.4134033888708,177.44141901968337,22.403477757037653
2025-11-13,21.738780989468474,39.1643119131991,21.06999969482422,357.43017578125,26.75077710515104,204.92251325580398,173.62557183184973,19.970347475291362
2025-11-14,21.905155971258914,40.56064693783789,21.375,355.9470520019531,26.040314220742214,202.05529331549698,172.67934540044124,19.300265977316755
2025-11-17,21.256363472527465,41.143848029148806,21.135000228881836,349.7179870605469,25.586840589027243,201.0960433956118,173.34827146026677,18.131186459951692
2025-11-18,22.181817359016538,42.379264246656184,20.799999237060547,338.34747314453125,25.38269512381005,206.27968961453595,178.63654280142154,18.58406780379225
2025-11-19,21.98394646791414,41.34294651279321,20.739999771118164,334.6891174316406,24.177161164039592,207.63001199382893,177.91800470118568,18.245121253781267
2025-11-20,19.756198956205566,35.52649931179808,20.655000686645508,333.79925537109375,23.85474513287591,203.94809681826047,172.45949060146006,16.203550347199805
2025-11-21,20.45158687244003,36.160901407705424,19.736000061035156,333.40374755859375,24.422263672336843,204.14307565362478,172.724439968714,16.12545659891888
2025-11-24,23.089063671071557,40.63397030130158,20.670000076293945,332.9093933105469,23.59307779683289,207.74944239189043,179.78533773736092,17.327660791119293
2025-11-25,22.63874455205636,40.85043530774531,20.850000381469727,330.0419921875,24.4703306318942,209.92921455445088,176.66554453359558,16.258576546673762
2025-11-26,22.110124128865763,40.55396432370997,21.100000381469727,329.0532531738281,23.77897617522785,210.66443933378338,178.26450237695218,16.463699205332404
2025-11-27,22.039038363928167,40.42358018120581,21.170000076293945,333.89813232421875,23.7025249214494,209.9871368126437,177.69136816753627,16.41076713471659
2025-11-28,22.04338471970198,42.500542152275166,21.399999618530273,333.9969787597656,23.888235341874513,212.13202597439167,175.1574031815516,17.24159951723732
2025-12-01,20.21296350241959,40.61555597684549,21.155000686645508,331.7228698730469,23.135007498447134,214.92111222598814,169.78026934812576,15.584237385577396
2025-12-02,20.5726189385627,40.43019459779658,21.405000686645508,327.5701599121094,22.993435081828352,212.64404307927157,168.07865249313664,16.290964600544797
2025-12-03,22.394401588239727,41.8390028085352,21.290000915527344,336.2710876464844,23.86500085347894,210.65700490916984,166.00580488702553,17.320400094523432
2025-12-04,25.765327700744756,46.936438014414435,22.204999923706055,334.6891174316406,23.836785173910805,212.14824454349792,161.56900724808867,19.585421099482815
2025-12-05,24.143678594012627,45.25543807685881,22.264999389648438,336.5677185058594,24.16085534830231,212.90412799098323,158.78483268842007,18.371869767929518
2025-12-08,24.2778825561256,46.70013092286693,22.2549991607666,324.80169677734375,22.439430559265126,212.43576504670784,158.64814192759752,18.521979147379167
2025-12-09,24.240980999534077,46.76396188642729,22.364999771118164,321.1433410644531,20.512920624030393,213.659080338537,159.62798203890205,18.313880938605607
2025-12-10,22.46241625434567,44.43464660953632,21.985000610351562,307.00433349609375,20.088898949165802,211.56981490457363,158.26027193912657,17.474589462789414
2025-12-11,22.971917885953076,44.90975837315553,21.6200008392334,310.86041259765625,19.66457783916687,207.1660294910793,156.50474575766978,18.13482503667079
2025-12-12,22.0112872495024,42.88963904339966,21.44499969482422,309.6739501953125,19.01284527052832,205.69139038779318,161.46437850924104,15.62256227286053
2025-12-15,20.046620001165927,39.249798146420474,21.145000457763672,310.4649353027344,18.751640371365898,208.35534192422168,164.32605401083825,14.832623925910443
